year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2013.0,female,E,3,SOUTH WEST,0.125,0.347,0.018,0.51,11.218
2013.0,female,E,3,WEST MIDLANDS,0.2,0.338,0.018,0.444,8.598
2013.0,female,E,3,YORKSHIRE AND THE HUMBER,0.161,0.265,0.016,0.558,10.179
2013.0,female,E,4,EAST,0.183,0.554,0.0,0.264,7.305
2013.0,female,E,4,EAST MIDLANDS,0.215,0.315,0.016,0.454,7.816
2013.0,female,E,4,LONDON,0.172,0.705,0.026,0.097,16.44
2013.0,female,E,4,NORTH EAST,0.108,0.551,0.0,0.341,7.034
2013.0,female,E,4,NORTH WEST,0.237,0.474,0.014,0.275,25.488
2013.0,female,E,4,SOUTH EAST,0.145,0.698,0.0,0.157,9.191
2013.0,female,E,4,SOUTH WEST,0.195,0.569,0.009,0.228,9.973
2013.0,female,E,4,WEST MIDLANDS,0.197,0.556,0.0,0.247,5.073
2013.0,female,E,4,YORKSHIRE AND THE HUMBER,0.284,0.211,0.013,0.492,10.921
2013.0,female,E,5,EAST,0.1,0.72,0.004,0.177,33.259
2013.0,female,E,5,EAST MIDLANDS,0.108,0.765,0.002,0.125,24.972
2013.0,female,E,5,LONDON,0.088,0.834,0.003,0.075,40.365
2013.0,female,E,5,NORTH EAST,0.312,0.489,0.002,0.196,23.743
2013.0,female,E,5,NORTH WEST,0.225,0.583,0.027,0.165,58.198
2013.0,female,E,5,SOUTH EAST,0.23,0.641,0.002,0.127,60.273
2013.0,female,E,5,SOUTH WEST,0.299,0.543,0.015,0.143,39.498
2013.0,female,E,5,WEST MIDLANDS,0.25,0.684,0.003,0.063,40.135
2013.0,female,E,5,YORKSHIRE AND THE HUMBER,0.22,0.643,0.002,0.134,43.839
2013.0,male,AB,0,EAST,0.056,0.755,0.023,0.166,58.014
2013.0,male,AB,0,EAST MIDLANDS,0.087,0.86,0.002,0.052,23.66
2013.0,male,AB,0,LONDON,0.0,0.838,0.004,0.158,35.278
2013.0,male,AB,0,NORTH EAST,0.171,0.651,0.142,0.036,6.758
2013.0,male,AB,0,NORTH WEST,0.057,0.79,0.004,0.15,23.862
