year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2015.0,female,D,2,SOUTH WEST,0.217,0.265,0.005,0.514,19.397
2015.0,female,D,2,WEST MIDLANDS,0.03,0.762,0.003,0.204,27.152
2015.0,female,D,2,YORKSHIRE AND THE HUMBER,0.0,0.717,0.042,0.241,24.681
2015.0,female,D,3,EAST,0.061,0.654,0.004,0.281,27.809
2015.0,female,D,3,EAST MIDLANDS,0.04,0.638,0.01,0.312,21.869
2015.0,female,D,3,LONDON,0.034,0.779,0.008,0.178,34.31
2015.0,female,D,3,NORTH EAST,0.205,0.129,0.122,0.545,8.983
2015.0,female,D,3,NORTH WEST,0.09,0.516,0.017,0.378,24.24
2015.0,female,D,3,SOUTH EAST,0.305,0.437,0.013,0.245,24.433
2015.0,female,D,3,SOUTH WEST,0.111,0.356,0.068,0.465,27.006
2015.0,female,D,3,WEST MIDLANDS,0.068,0.482,0.008,0.443,26.825
2015.0,female,D,3,YORKSHIRE AND THE HUMBER,0.143,0.533,0.004,0.32,26.128
2015.0,female,D,4,EAST,0.283,0.58,0.001,0.136,21.23
2015.0,female,D,4,EAST MIDLANDS,0.025,0.645,0.007,0.323,26.46
2015.0,female,D,4,LONDON,0.0,0.813,0.023,0.164,18.546
2015.0,female,D,4,NORTH EAST,0.52,0.48,0.0,0.0,9.129
2015.0,female,D,4,NORTH WEST,0.172,0.51,0.053,0.265,21.134
2015.0,female,D,4,SOUTH EAST,0.132,0.584,0.006,0.278,21.223
2015.0,female,D,4,SOUTH WEST,0.232,0.516,0.0,0.252,13.225
2015.0,female,D,4,WEST MIDLANDS,0.103,0.632,0.005,0.26,18.607
2015.0,female,D,4,YORKSHIRE AND THE HUMBER,0.131,0.464,0.052,0.353,14.641
2015.0,female,D,5,EAST,0.192,0.677,0.001,0.13,37.767
2015.0,female,D,5,EAST MIDLANDS,0.121,0.662,0.004,0.213,30.721
2015.0,female,D,5,LONDON,0.223,0.633,0.006,0.139,17.19
2015.0,female,D,5,NORTH EAST,0.497,0.431,0.001,0.072,14.583
2015.0,female,D,5,NORTH WEST,0.202,0.586,0.003,0.209,41.571
2015.0,female,D,5,SOUTH EAST,0.386,0.546,0.002,0.065,64.802
2015.0,female,D,5,SOUTH WEST,0.192,0.634,0.048,0.127,38.615
2015.0,female,D,5,WEST MIDLANDS,0.115,0.79,0.003,0.092,58.875
2015.0,female,D,5,YORKSHIRE AND THE HUMBER,0.215,0.674,0.001,0.11,29.49
2015.0,female,E,0,EAST,0.052,0.428,0.017,0.502,18.364
2015.0,female,E,0,EAST MIDLANDS,0.073,0.314,0.022,0.591,21.307
2015.0,female,E,0,LONDON,0.0,0.685,0.035,0.279,23.166
2015.0,female,E,0,NORTH EAST,0.051,0.337,0.048,0.563,23.862
2015.0,female,E,0,NORTH WEST,0.009,0.651,0.009,0.331,63.704
2015.0,female,E,0,SOUTH EAST,0.0,0.757,0.0,0.243,5.176
2015.0,female,E,0,SOUTH WEST,0.174,0.467,0.014,0.345,4.694
2015.0,female,E,0,WEST MIDLANDS,0.0,0.583,0.031,0.386,25.678
2015.0,female,E,0,YORKSHIRE AND THE HUMBER,0.11,0.352,0.009,0.529,20.22
2015.0,female,E,1,EAST,0.036,0.344,0.066,0.554,17.068
2015.0,female,E,1,EAST MIDLANDS,0.127,0.354,0.032,0.488,28.525
2015.0,female,E,1,LONDON,0.064,0.857,0.001,0.077,35.666
2015.0,female,E,1,NORTH EAST,0.112,0.329,0.012,0.547,16.233
2015.0,female,E,1,NORTH WEST,0.095,0.49,0.032,0.384,22.759
2015.0,female,E,1,SOUTH WEST,0.129,0.148,0.005,0.718,13.842
2015.0,female,E,1,WEST MIDLANDS,0.036,0.616,0.008,0.34,17.909
2015.0,female,E,1,YORKSHIRE AND THE HUMBER,0.053,0.323,0.042,0.582,24.694
2015.0,female,E,2,EAST,0.0,0.237,0.046,0.717,2.397
2015.0,female,E,2,EAST MIDLANDS,0.141,0.387,0.013,0.459,12.065
2015.0,female,E,2,LONDON,0.043,0.731,0.044,0.182,27.32
2015.0,female,E,2,NORTH EAST,0.148,0.166,0.011,0.675,8.933
2015.0,female,E,2,NORTH WEST,0.155,0.543,0.007,0.294,13.858
2015.0,female,E,2,SOUTH EAST,0.0,0.258,0.009,0.733,3.559
2015.0,female,E,2,SOUTH WEST,0.224,0.325,0.01,0.44,13.924
2015.0,female,E,2,WEST MIDLANDS,0.096,0.591,0.003,0.31,13.993
2015.0,female,E,2,YORKSHIRE AND THE HUMBER,0.149,0.526,0.018,0.306,10.658
2015.0,female,E,3,EAST,0.191,0.554,0.007,0.249,9.345
2015.0,female,E,3,EAST MIDLANDS,0.105,0.382,0.018,0.495,13.982
2015.0,female,E,3,LONDON,0.033,0.849,0.002,0.117,18.547
2015.0,female,E,3,NORTH EAST,0.045,0.429,0.005,0.521,13.442
2015.0,female,E,3,NORTH WEST,0.173,0.304,0.005,0.518,25.908
2015.0,female,E,3,SOUTH EAST,0.253,0.192,0.009,0.546,13.628
2015.0,female,E,3,SOUTH WEST,0.137,0.137,0.018,0.708,7.932
2015.0,female,E,3,WEST MIDLANDS,0.129,0.597,0.004,0.27,16.35
2015.0,female,E,3,YORKSHIRE AND THE HUMBER,0.175,0.327,0.012,0.486,12.397
2015.0,female,E,4,EAST,0.131,0.738,0.0,0.131,11.464
2015.0,female,E,4,EAST MIDLANDS,0.0,0.277,0.017,0.706,4.157
2015.0,female,E,4,LONDON,0.044,0.609,0.007,0.34,18.194
2015.0,female,E,4,NORTH EAST,0.161,0.432,0.009,0.398,10.582
2015.0,female,E,4,NORTH WEST,0.165,0.409,0.048,0.379,20.086
2015.0,female,E,4,SOUTH EAST,0.349,0.651,0.0,0.0,3.642
2015.0,female,E,4,SOUTH WEST,0.32,0.159,0.013,0.508,6.079
2015.0,female,E,4,WEST MIDLANDS,0.174,0.598,0.079,0.149,10.929
2015.0,female,E,4,YORKSHIRE AND THE HUMBER,0.185,0.34,0.021,0.455,11.617
2015.0,female,E,5,EAST,0.227,0.692,0.018,0.064,41.822
2015.0,female,E,5,EAST MIDLANDS,0.189,0.671,0.017,0.123,20.385
2015.0,female,E,5,LONDON,0.107,0.771,0.003,0.118,50.373
2015.0,female,E,5,NORTH EAST,0.411,0.443,0.038,0.107,27.242
2015.0,female,E,5,NORTH WEST,0.317,0.524,0.003,0.157,40.442
